City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
237,Norman Wells,CA,65.282,-126.8329,-7.56,77,100,0.0,light snow
238,Husavik,IS,66.0449,-17.3389,35.4,100,100,14.5,overcast clouds
239,Elko,US,41.0002,-115.5012,28.42,92,97,3.29,overcast clouds
240,Abu Kamal,SY,34.4506,40.9171,48.13,82,16,6.55,few clouds
241,Ancud,CL,-41.8697,-73.8203,59.86,89,100,5.01,overcast clouds
242,Ponta Do Sol,PT,32.6667,-17.1,66.0,73,45,5.93,scattered clouds
243,Bengkulu,ID,-3.8004,102.2655,74.88,87,96,5.7,overcast clouds
244,Upernavik,GL,72.7868,-56.1549,-14.78,86,32,9.42,scattered clouds
245,Touros,BR,-5.1989,-35.4608,79.23,78,91,12.28,overcast clouds
246,Bilibino,RU,68.0546,166.4372,-23.55,100,99,1.12,overcast clouds
247,Ponta Delgada,PT,37.7333,-25.6667,63.32,82,20,18.41,few clouds
248,Nara,JP,34.6851,135.8049,42.49,69,71,3.98,broken clouds
249,Grand Gaube,MU,-20.0064,57.6608,77.4,72,8,4.0,clear sky
250,Bandarbeyla,SO,9.4942,50.8122,75.78,78,20,15.59,few clouds
251,Skjervoy,NO,70.0311,20.9714,14.0,77,3,34.74,clear sky
252,Ilulissat,GL,69.2167,-51.1,12.22,62,100,5.75,overcast clouds
253,Harper,LR,4.375,-7.7169,79.12,84,29,7.58,scattered clouds
254,Lichfield,GB,52.6815,-1.8255,47.44,90,68,17.76,broken clouds
255,Sens,FR,48.1667,3.3333,48.36,87,100,18.12,light rain
256,Aden,YE,12.7794,45.0367,76.55,74,18,9.78,few clouds
257,Chiknayakanhalli,IN,13.4172,76.6228,62.31,79,3,2.91,clear sky
258,Ust-Tsilma,RU,65.441,52.1498,-41.78,100,59,2.8,broken clouds
259,Kavieng,PG,-2.5744,150.7967,84.4,71,62,6.64,broken clouds
260,Paungde,MM,18.4833,95.5,65.53,71,1,6.6,clear sky
